285,馬英九總統國是焦點影音,http://www.youtube.com/user/presidentialoffice,人物與網誌,國民黨; 馬英九,中,TW,高
331,藝流網-Floating,http://www.youtube.com/user/ntcharts,宗教與非營利,藝流網; floating; 藝術; 知性; 舞蹈; 兩廳院; 音樂; ,中,TW,高
,Tzu Chi DaAiVideo,http://www.youtube.com/user/daaivideo,宗教與非營利,大愛; 慈濟; 談話類,中,TW,高
144,商業週刊,http://www.youtube.com/user/bwnet,教育講座,商業; 講座; 文化,中,TW,中
,天下雜誌群影音頻道,http://www.youtube.com/user/cwtv,教育講座,天下雜誌; 國際,中,TW,高
,遠見‧天下文化事業群,http://www.youtube.com/user/cwgv,教育講座,遠見雜誌; 天下文化; 名人專訪; 知性,中,TW,高
1773,世界新聞網,http://www.youtube.com/user/worldjournalnews,新聞,國際,中,TW,中
648,中央通訊社影音頻道,http://www.youtube.com/user/cnataiwan,新聞,中央通訊社; 教育,中,TW,高
,中時電子報 影音頻道,http://www.youtube.com/user/chinatimes,新聞,中時,中,TW,中
,台灣醒報,http://www.youtube.com/user/awakeningtw,新聞,醒報,中,TW,中
,台視新聞,http://www.youtube.com/user/ttvnewsview,新聞,台視,中,TW,中
,大愛新聞 ,http://www.youtube.com/user/tzuchisg,新聞,大愛; 慈濟; 佛法,中,TW,低
,台東地方新聞【CH20星樂傳播】,http://www.youtube.com/user/starfuntv,新聞,台東; 新聞; 星樂傳播,中,TW,中
,氣象即時消息,http://www.youtube.com/user/weatherrisk,新聞,氣象; 生活; 專訪;,中,TW,中
,蘋果日報動新聞 Apple Daily,http://www.youtube.com/user/nmanews,新聞,蘋果日報; 動新聞; ,中,TW,中
942,行政院影音新聞,http://www.youtube.com/user/cabinet3356,新聞,行政院; 陳冲;,中,TW,高
,鳳凰視頻,http://www.youtube.com/user/goldencarptavern,新聞,中國; 國際; ,中,TW,中
,東森新聞 CH51,http://www.youtube.com/user/newsebc,新聞,東森; 電視台,中,TW,高
,SINA PREMIUM CHANNEL,http://www.youtube.com/user/sinapremium,電視與電影,中國; 新浪,中,TW,低
244,民視綜合影音,http://www.youtube.com/user/ftvcp,電視與電影,民視; 電視台,中,TW,中
7245,看看新聞網 (SMG News),http://www.youtube.com/user/kankanews,電視與電影,SMG; 看看新聞網; 電視台,中,TW,中
,華視直播頻道,http://www.youtube.com/user/TBSCTS/featured?v=jRgkIzylV90,華視,CTS; 新聞; 資訊,中,TW,中
14657,華視新聞（午間晚間）,,,,,,
19613,華視好心聞,,,,,,
20137,華視晨間活力新聞-歐嗨呦動一動,,,,,,
14381,焦點新聞,,,,,,
14384,體壇動態,,,,,,
14383,科技新知,,,,,,
14382,新奇趣聞,,,,,,
8599,政治經濟,,,,,,
8600,社會人文,,,,,,
8601,生活資訊,,,,,,
8602,娛樂八卦,,,,,,
14385,寰宇國際,,,,,,
7656,7 News,http://www.youtube.com/user/7news,News ,world news,EN,Worldwide,Q1
3631,Arirang News,http://www.youtube.com/user/arirangnews,News ,world news,EN,Worldwide,Q1
1484,Bloomberg,http://www.youtube.com/user/bloomberg,News ,world news; financial news,EN,Worldwide,Q1
7246,CBC The National,http://www.youtube.com/user/cbcthenational,News ,world news,EN,Worldwide,Q2
,風潮音樂,http://www.youtube.com/user/windmusictv?feature=watch,音樂,黃建為; 米拉拉,中,TW,高
,Relaxing music,http://www.youtube.com/user/relaxdaily,音樂,relaxdaily,英,Worldwide,高
,Cafeberdar,http://www.youtube.com/user/Cafeberdar?feature=watch,音樂,Nature,英,Worldwide,高
,Earth Spirit ,http://www.youtube.com/user/EuphoricWaters,音樂,Ambient,英,Worldwide,高
,MysteryVoyage, http://www.youtube.com/user/MysteryVoyage,音樂,Ambient,英,Worldwide,中
,Concert Video ,http://www.youtube.com/user/JoeHisaishi2008?feature=watch,音樂,古典,英,Worldwide,高
,麗音影音,http://www.youtube.com/user/ateamvision,音樂,古典; 藍調,中,TW,中
,Warner Classics,http://www.youtube.com/user/WarnerClassicsJazz,音樂,Live performances,英,Worldwide,中
,AFFABRE Singers,http://www.youtube.com/user/affabresingers,音樂,古典,英,Worldwide,低
,Andrea Bocelli,http://www.youtube.com/user/andreabocelli?feature=watch,音樂,TANGO; Pop Classical,英,Worldwide,中
,The Piano Guys , http://www.youtube.com/user/ThePianoGuys,音樂,TANGO; Pop Classical,英,Worldwide,低
,Peter Hollens, http://www.youtube.com/user/peterhollens,音樂,TANGO; Pop Classical,英,Worldwide,中
,Lindsey Stirling, http://www.youtube.com/user/lindseystomp,音樂,TANGO; Pop Classical,英,Worldwide,中
,2 Cellos,http://www.youtube.com/user/2CellosVEVO,音樂,TANGO; Pop Classical,英,Worldwide,中
,Mozart Group,http://www.youtube.com/user/TheMozARTGROUP,音樂,TANGO; Pop Classical,英,Worldwide,中
,Charlie Siem,http://www.youtube.com/user/CharlieSiemVideos,音樂,TANGO; Pop Classical,英,Worldwide,低
,quattrocelli·, http://www.youtube.com/user/quattrocelli,音樂,TANGO; Pop Classical,英,Worldwide,低
,David Garrett,http://www.youtube.com/user/DavidGarrettVEVO,音樂,TANGO; Pop Classical,英,Worldwide,高
8763,【Pop Classical】,,,,,,
,TheUtubeJazz,http://www.youtube.com/user/TheUtubejazz?feature=watch,音樂,Jazz,英,Worldwide,高
,Warner Jazz,http://www.youtube.com/user/WarnerJazzVideos,音樂,Jazz,英,Worldwide,中
,Georg Breinschmid ,http://www.youtube.com/user/geobrein,音樂,Jazz,英,Worldwide,中
8784,【Jazz't the Way】,,,,,,
