285,馬英九總統國是焦點影音,http://www.youtube.com/user/presidentialoffice,人物與網誌,國民黨; 馬英九,中,TW,高
8070,台灣呷透透,http://www.youtube.com/user/eltafood,時尚美食與生活,MOD; 中華電信;  美食,中,TW,高
1517,非凡大探索,http://www.youtube.com/user/neoking5168,時尚美食與生活,非凡; 美食; 台灣真善美,中,TW,中
,TSR Taiwan,http://www.youtube.com/user/taiwansr,動力機械 ,機車; TSR,中,TW,高
144,商業週刊,http://www.youtube.com/user/bwnet,教育講座,商業; 講座; 文化,中,TW,中
,天下雜誌群影音頻道,http://www.youtube.com/user/cwtv,教育講座,天下雜誌; 國際,中,TW,高
,遠見‧天下文化事業群,http://www.youtube.com/user/cwgv,教育講座,遠見雜誌; 天下文化; 名人專訪; 知性,中,TW,高
1773,世界新聞網,http://www.youtube.com/user/worldjournalnews,新聞,國際,中,TW,中
648,中央通訊社影音頻道,http://www.youtube.com/user/cnataiwan,新聞,中央通訊社; 教育,中,TW,高
,中時電子報 影音頻道,http://www.youtube.com/user/chinatimes,新聞,中時,中,TW,中
,台灣醒報,http://www.youtube.com/user/awakeningtw,新聞,醒報,中,TW,中
,台視新聞,http://www.youtube.com/user/ttvnewsview,新聞,台視,中,TW,中
,大愛新聞 ,http://www.youtube.com/user/tzuchisg,新聞,大愛; 慈濟; 佛法,中,TW,低
,台東地方新聞【CH20星樂傳播】,http://www.youtube.com/user/starfuntv,新聞,台東; 新聞; 星樂傳播,中,TW,中
,氣象即時消息,http://www.youtube.com/user/weatherrisk,新聞,氣象; 生活; 專訪;,中,TW,中
,蘋果日報動新聞 Apple Daily,http://www.youtube.com/user/nmanews,新聞,蘋果日報; 動新聞; ,中,TW,中
,鳳凰視頻,http://www.youtube.com/user/goldencarptavern,新聞,中國; 國際; ,中,TW,中
,東森新聞 CH51,http://www.youtube.com/user/newsebc,新聞,東森; 電視台,中,TW,高
,台灣青棒賽,http://www.youtube.com/user/ilovebaseballforever,運動與健康,棒球; 中華少棒,中,TW,中
,台灣動物緊急救援小組 ,http://www.youtube.com/user/savedogs2009,寵物與動物,新聞 ,中,TW,中
,SINA PREMIUM CHANNEL,http://www.youtube.com/user/sinapremium,電視與電影,中國; 新浪,中,TW,低
,footwearfoot,http://www.youtube.com/user/footwearfoot,運動與健康,棒球; 籃球,中,TW,中
244,民視綜合影音,http://www.youtube.com/user/ftvcp,電視與電影,民視; 電視台,中,TW,中
4931,HOPE高球周報,http://www.youtube.com/user/hopegolfweekly,運動與健康,golfing; 高爾夫,中,TW,高
,華視直播頻道,http://www.youtube.com/user/TBSCTS/featured?v=jRgkIzylV90,華視,CTS; 新聞; 資訊,中,TW,中
14657,華視新聞（午間晚間）,,,,,,
25093,台灣好好吃好好玩,,,,,,
11329,好吃夯仔內,,,,,,
10656,南北大不同,,,,,,
19613,華視好心聞,,,,,,
20151,西餐人生[VOD],,,,,,
20160,白色20變[VOD],,,,,,
20161,11PM[VOD],,,,,,
19695,西餐人生,,,,,,
14381,焦點新聞,,,,,,
14384,體壇動態,,,,,,
14383,科技新知,,,,,,
14382,新奇趣聞,,,,,,
8599,政治經濟,,,,,,
8600,社會人文,,,,,,
